OBJECTID,FOLIO,ID,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATED BY,CREATED DATE,MODIFIED BY,MODIFIED DATE,GlobalID,x,y,
83,5.312E+11,9028,Federal & State Compliance Office, ,489 East Dr, ,Miami Springs,33166,305-883-5323,,A,0,0,0, ,25.81112,-80.27255,895486.0221,537703.941,E316899,6/11/2020 9:42,E316899,3/17/2023 15:21,f6892cd7-a8d3-4682-80fc-a313781efd9e,-8935898.527,2975706.83,
84,3.53019E+12,9574,Central Region Office,Former Doral Middle,5005 NW 112th Ave, ,Doral,33178,305-499-5050,,A,0,0,0, ,25.81949,-80.37661,861234.649,540569.7304,E316899,6/11/2020 9:42,E316899,11/18/2021 13:42,eaad53d1-b4a5-409e-9e39-b56e52eb78f0,-8947483.273,2976741.654,
85,3.05005E+12,2641,Kendale Elementary, ,10693 SW 93rd St, ,Miami-Dade,33176,305-274-2735,,E,PK-5,724,374,S,25.68314,-80.36618,864904.2367,491028.1166,E316899,6/11/2020 9:42,E316899,4/3/2023 12:09,384f5de9-5922-44d0-95f1-23cec16ff38c,-8946322.106,2959889.409,
86,3.04015E+12,201,Banyan Elementary, ,3060 SW 85th Ave, ,Miami-Dade,33155,305-221-4011,,E,PK-5,540,340,C,25.74118,-80.33393,875417.6875,512176.5313,E316899,6/11/2020 9:42,E316899,3/24/2023 11:34,5af9b888-bd45-4106-b689-682b498c7e50,-8942732.507,2967060.836,
87,4.2028E+11,5051,Ernest R. Graham K-8 Center, ,7330 W 32nd Ave, ,Hialeah,33018,305-825-2122,,E,PK-8,1489,976,N,25.88798,-80.34864,870312.3896,565507.9297,E316899,6/11/2020 9:42,E316899,3/31/2023 15:40,82db33f6-c5a8-499a-9e1d-ca8088f22a1f,-8944369.648,2985213.931,
88,1.54012E+12,5441,Sylvania Heights Elementary, ,5901 SW 16th St, ,West Miami,33155,305-266-3511,,E,PK-5,826,524,C,25.75711,-80.29249,889027.6265,518036.5835,E316899,6/11/2020 9:42,E316899,4/4/2023 15:41,37b57ea7-1e20-4048-a090-8cbdc27e7ad5,-8938119.521,2969029.348,
89,3.05032E+12,3541,Robert Russa Moton Elementary, ,18050 Homestead Ave, ,Miami-Dade,33157,305-235-3612,,E,K-5,679,177,S,25.60216,-80.35587,868443.2862,461612.7445,E316899,6/11/2020 9:42,E316899,4/3/2023 15:11,abf6cb76-d956-4201-869a-7834f061d9c2,-8945174.278,2949890.102,
90,1.4111E+11,1121,Coral Way K-8 Center, ,1950 SW 13th Ave, ,Miami,33145,305-854-0515,,E,PK-8,1374,1053,C,25.75368,-80.21779,913626.3647,516930.7178,E316899,6/11/2020 9:42,E316899,3/24/2023 13:13,58fe3c5f-469d-46a2-b349-1f0dffb26693,-8929802.403,2968606.047,
91,3.02125E+12,2241,Gratigny Elementary, ,11905 N Miami Ave, ,Miami-Dade,33168,305-681-6685,,E,PK-5,686,423,N,25.88507,-80.198,919844.1853,564723.2388,E316899,6/11/2020 9:42,E316899,3/31/2023 15:58,e26dc49c-d1ec-44ee-ae0a-a7f75e81aa0c,-8927601.064,2984853.437,
92,1.31131E+11,9913,MDCPS Police Center, ,6100 NW 2nd Ave, ,Miami,33127,305-757-7708,,A,0,0,0, ,25.83184,-80.20071,919071.1147,545370.1021,E316899,6/11/2020 9:42,E316899,4/3/2023 12:47,c53bea96-e63a-456a-a9c5-0cab32ab97da,-8927902.665,2978268.529,
93,3.04929E+12,1691,Christina M. Eve PLC - N,PLC-N,16251 SW 72nd St, ,Miami-Dade,33193,305-383-9392,,PLC,0,0,0,S,25.6991,-80.4551,835592.8117,496697.9787,E316899,6/11/2020 9:42,E316899,3/24/2023 13:03,485ee9a4-10c8-4dab-b47d-267c9e353899,-8956221.597,2961860.888,
94,3.0311E+12,8139,D.A. Dorsey Technical College, ,7100 NW 17th Ave, ,Miami-Dade,33147,305-693-2490,,O,0,0,0,C,25.83956,-80.22567,910849.2357,548129.0077,E316899,6/11/2020 9:42,E316899,3/24/2023 13:17,c6fea7c6-5f4a-47c4-b85a-de67018dca71,-8930679.542,2979224.044,
95,3.42105E+12,3241,Miami Gardens Elementary, ,4444 NW 195th St, ,Miami Gardens,33055,305-625-5321,,E,PK-5,412,262,N,25.95033,-80.27531,894295.894,588298.0157,E316899,6/11/2020 9:42,E316899,4/3/2023 12:58,fa2ce6fb-cd37-4e49-8bfa-1d23f639b975,-8936206.698,2992931.405,
96,3.42115E+12,6591,North Dade Center Middle, ,1840 NW 157th St, ,Miami Gardens,33054,305-624-8415,,M,8-Jun,797,441,N,25.91677,-80.23161,908727.6874,576180.7395,E316899,6/11/2020 9:42,E316899,4/3/2023 13:30,9512d413-5a49-4633-a7ee-dab6a91832f0,-8931341.974,2988776.854,
97,3.03952E+12,1371,Marjory Stoneman Douglas PLC-F, ,650 NW 132nd Ave, ,Miami-Dade,33182,305-222-4822,,PLC,0,0,0,S,25.77351,-80.40939,850524.9072,523807.5757,E316899,6/11/2020 9:42,E316899,4/3/2023 12:45,fe366701-90f6-41fe-aab3-d9db9d61b8b5,-8951132.779,2971056.435,
98,1.07813E+12,921,Neva King Cooper Educational Center, ,151 NW 5th St, ,Homestead,33030,305-247-4307,,SPC,PK-12,0,75,S,25.47452,-80.48044,827571.3128,415044.609,E316899,6/11/2020 9:42,E316899,4/3/2023 13:17,afdd1af0-bce2-4b3a-a81c-509d911645c6,-8959041.389,2934143.302,
99,3.35022E+12,1041,Coral Reef Elementary, ,7955 SW 152nd St, ,Palmetto Bay,33157,305-235-1464,,E,PK-5,932,745,S,25.62981,-80.32251,879388.224,471717.3896,E316899,6/11/2020 9:42,E316899,3/24/2023 13:11,05af1fbb-1c40-4daf-b14d-586c14dfeb53,-8941459.944,2953303.722,
100,2.72029E+12,2111,Hialeah Gardens Elementary PLC- B, ,9749 NW 127th Ter, ,Hialeah Gardens,33018,305-818-7976,,PLC,0,0,0,N,25.88979,-80.35737,867437.1437,566153.3662,E316899,6/11/2020 9:42,E316899,3/17/2023 15:53,d897e080-4972-4845-adaa-4f31792c1142,-8945342.083,2985438.484,
101,9.4026E+11,5241,South Miami K-8 Center, ,6800 SW 60th St, ,South Miami,33143,305-667-8847,,E,PK-8,788,562,C,25.71397,-80.30592,884691.1982,502335.5521,E316899,6/11/2020 9:42,E316899,4/4/2023 15:30,34c3212d-811d-4104-ad74-0c4914daac55,-8939614.06,2963698.925,
102,2.3227E+11,7201,Miami Beach Senior High, ,2231 Prairie Ave, ,Miami Beach,33139,305-532-4515,,S,12-Sep,2354,2213,N,25.79875,-80.13311,941386.249,533483.4377,E316899,6/11/2020 9:42,E316899,4/3/2023 12:54,2d4daf70-1ce9-44cd-953c-66accab67a03,-8920377.579,2974176.516,
103,3.22021E+12,91,Bob Graham Education Center PLC-H, ,8875 NW 143rd St, ,Miami Lakes,33018,305-231-8778,,PLC,0,0,0,N,25.90372,-80.34396,871824.2193,571237.9831,E316899,6/11/2020 9:42,E316899,3/24/2023 12:35,14fa56a5-457f-40fa-8210-bf8cbffeeeeb,-8943848.069,2987162.164,
104,4.3117E+11,2361,Hialeah Elementary, ,550 E 8th St, ,Hialeah,33010,305-888-6709,,E,PK-5,886,802,C,25.82923,-80.27051,896117.3824,544288.5569,E316899,6/11/2020 9:42,E316899,3/17/2023 15:50,928d1ecf-d05f-4127-9776-aada7fee090a,-8935672.547,2977945.928,
105,1.31141E+11,4171,Orchard Villa Elementary, ,5720 NW 13th Ave, ,Miami,33142,305-754-0607,,E,PK-5,723,329,C,25.82778,-80.21905,913048.7508,543859.0394,E316899,6/11/2020 9:42,E316899,4/3/2023 13:39,a94d7df4-6634-4653-b58c-ce23f8fa0d59,-8929943.736,2977766.698,
106,4.3002E+11,7049,Westland Hialeah Senior High, ,4000 W 18th Ave, ,Hialeah,33012,305-818-3000,,S,12-Sep,1749,1125,N,25.85792,-80.31894,880132.3942,554632.5265,E316899,6/11/2020 9:42,E316899,4/5/2023 11:59,d5ad2069-592e-46e6-8064-ea6bb8550467,-8941063.893,2981495.153,
107,3.01234E+12,231,Aventura Waterways K-8 Center, ,21101 NE 26th Ave, ,Miami-Dade,33180,305-933-5200,,E,K-8,1485,2182,N,25.97057,-80.14945,935604.8051,595903.5916,E316899,6/11/2020 9:42,E316899,3/24/2023 11:25,8571720f-14a5-4336-a047-980fe805d77f,-8922196.641,2995437.367,
108,3.05902E+12,671,Calusa Elementary, ,9580 W Calusa Club Dr, ,Miami-Dade,33186,305-385-0589,,E,PK-5,792,771,S,25.67903,-80.41225,849736.9804,489465.5184,E316899,6/11/2020 9:42,E316899,3/24/2023 12:50,c111fae5-5f68-4507-bff6-c0c8249f17f8,-8951451.03,2959382.179,
109,3.42116E+12,2161,Golden Glades Elementary, ,16520 NW 28th Ave, ,Miami Gardens,33054,305-624-9641,,E,PK-5,438,234,N,25.92504,-80.24712,903615.0628,579155.3123,E316899,6/11/2020 9:42,E316899,3/31/2023 15:57,186dcdae-dd87-4e73-8eb5-cccd80542547,-8933067.606,2989799.839,
110,1.07908E+12,7021,Center For International Education: A Cambridge A S, ,900 NE 23rd Ave, ,Homestead,33033,305-248-7911,,S,12-Sep,942,410,S,25.47822,-80.4455,839092.4233,416433.001,E316899,6/11/2020 9:42,E316899,3/24/2023 12:56,1f084cb4-b9da-4c20-a812-b1dd55df2d32,-8955151.969,2934598.596,
111,3.05927E+12,2151,Jack D. Gordon Elementary Manatee PLC-T, ,15551 SW 142nd Ave, ,Miami-Dade,33177,305-234-4863,,PLC,0,0,0,S,25.62287,-80.42222,846544.9592,469038.6622,E316899,6/11/2020 9:42,E316899,4/3/2023 11:53,0950eab7-2b56-466a-bfaf-4a09b9317009,-8952560.051,2952446.638,
112,3.03109E+12,6391,Madison Middle, ,3400 NW 87th St, ,Miami-Dade,33147,305-836-2610,,M,8-Jun,832,429,C,25.85236,-80.25328,901736.3822,552729.8239,E316899,6/11/2020 9:42,E316899,4/3/2023 12:40,661ab4fc-4ebd-40e9-8fa3-0b3c45a676a0,-8933754.807,2980807.653,
113,1.3133E+11,2661,Kensington Park Elementary, ,711 NW 30th Ave, ,Miami,33125,305-649-2811,,E,PK-5,1424,977,C,25.78061,-80.24328,905175.1547,526668.1209,E316899,6/11/2020 9:42,E316899,4/3/2023 12:23,e890b141-eac0-47d6-987f-35b29ea06c8e,-8932641.617,2971934.3,
114,3.07906E+12,161,Avocado Elementary, ,16969 SW 294th St, ,Miami-Dade,33030,305-247-4942,,E,PK-3,869,614,S,25.49404,-80.46612,832266.0965,422155.8341,E316899,6/11/2020 9:42,E316899,3/24/2023 11:33,baf59232-7639-451d-be88-b142506b88d5,-8957447.645,2936549.858,
115,1.07813E+12,6251,Homestead Middle, ,650 NW 2nd Ave, ,Homestead,33030,305-247-4221,,M,8-Jun,860,681,S,25.47635,-80.48187,827093.9537,415707.3879,E316899,6/11/2020 9:42,E316899,3/17/2023 16:01,e20ab13a-84e3-4457-8cd1-8cccd0a8b6a0,-8959201.591,2934368.799,
116,3.53007E+12,4011,Dr. Toni Bilbao Preparatory Academy, ,8905 NW 114th Ave, ,Doral,33178,305-863-5750,,E,PK-7,1084,663,C,25.85408,-80.38253,859227.4081,553131.3243,E316899,6/11/2020 9:42,E316899,3/24/2023 14:51,ab3d991f-28ad-4f63-b8c8-766b852b0032,-8948142.535,2981019.4,
117,3.42102E+12,4001,Norwood Elementary, ,19810 NW 14th Ct, ,Miami Gardens,33169,305-653-0068,,E,PK-5,593,461,N,25.95577,-80.22747,910002.4425,590363.3586,E316899,6/11/2020 9:42,E316899,4/3/2023 13:36,d1f390e1-dbc9-4855-adbb-c5d8644ec286,-8930881.947,2993604.281,
118,3.04021E+12,9013,Pre-K Intervention,FDLRS - South,5555 SW 93rd Ave, ,Miami-Dade,33165,305-271-5701,,SPC,PK,0,350,AC,25.71688,-80.34454,871970.5845,503326.0709,E316899,6/11/2020 9:42,E316899,4/3/2023 14:55,4053d458-34ea-456f-a805-ba733156d515,-8943913.055,2964057.739,
119,1.3231E+11,9015,School Board Adm - Annex, ,1500 Biscayne Blvd, ,Miami,33132,305-995-1106,,A,0,0,0, ,25.78977,-80.18951,922850.5848,530103.5472,E316899,6/11/2020 9:42,E316899,4/4/2023 15:17,bad24714-506a-4290-9c03-000642d5345d,-8926655.478,2973067.014,
120,3.66003E+12,5981,Dr. Edward L. Whigham PLC-E, ,8035 SW 196th St, ,Cutler Bay,33189,305-252-5050,,PLC,0,0,0,S,25.58537,-80.32497,878655.4723,455560.6518,E316899,6/11/2020 9:42,E316899,3/24/2023 14:13,a6ed868e-fd23-40d1-bcf9-26763320b372,-8941735.299,2947817.569,
121,3.0502E+12,8131,Dorothy M. Wallace C.O.P.E. Center, ,10225 SW 147th Ter, ,Miami-Dade,33176,305-233-1044,,ALT,12-Jul,369,34,AC,25.63287,-80.35879,867425.9371,472771.1243,E316899,6/11/2020 9:42,E316899,3/24/2023 14:11,df911d4f-fbb8-4b64-b66f-c803219f7c64,-8945499.673,2953681.91,
122,4.3118E+11,5201,South Hialeah Elementary, ,265 E 5th St, ,Hialeah,33010,305-885-4556,,E,PK-5,1292,878,C,25.82674,-80.27662,894112.6343,543373.0251,E316899,6/11/2020 9:42,E316899,4/4/2023 15:29,ed803db9-34bc-4529-a629-4c2132f78221,-8936352.675,2977638.183,
123,3.03953E+12,9237,Transportation Center Central West,Central West,13775 NW 6th St, ,Miami-Dade,33182,305-227-1995,,A,0,0,0, ,25.77325,-80.41842,847554.6165,523702.1866,E316899,6/11/2020 9:42,E316899,4/5/2023 11:33,645e2934-ec8b-4f1e-b4bf-49341ba86644,-8952137.666,2971025.084,
124,1.3114E+11,2531,Thena C. Crowder Early Childhood Diagnostic SP ED, ,757 NW 66th St, ,Miami,33150,305-836-0012,,SPC,PK,197,100,AC,25.83546,-80.20989,916044.9787,546669.8525,E316899,6/11/2020 9:42,E316899,4/4/2023 15:48,8f71e188-cc3b-488f-ac00-1914b80d552b,-8928924.098,2978717.01,
125,4.2132E+11,9571,North Region Office, ,733 E 57th St, ,Hialeah,33013,305-687-6565,,A,0,0,0, ,25.87494,-80.2683,896751.5338,560909.0157,E316899,6/11/2020 9:42,E316899,4/3/2023 13:35,4be3f182-a387-428a-99bd-cefdaabe5fad,-8935426.623,2983601.012,
126,3.04929E+12,7121,John A. Ferguson Senior High, ,15900 SW 56th St, ,Miami-Dade,33185,305-408-2700,,S,12-Sep,3755,4327,S,25.71266,-80.45107,836901.5418,501632.2912,E316899,6/11/2020 9:42,E316899,4/3/2023 12:00,e48c604c-dd65-465c-8dd2-cc22c70599ad,-8955772.246,2963536.32,
127,3.02107E+12,3861,North Glade Elementary, ,5000 NW 177th St, ,Miami-Dade,33055,305-624-3608,,E,PK-5,508,221,N,25.93388,-80.28294,891821.6934,582302.9301,E316899,6/11/2020 9:42,E316899,4/3/2023 13:30,1561bec0-c7b5-43b8-becd-a1cd88e11706,-8937055.964,2990894.256,
128,3.03128E+12,3181,Melrose Elementary, ,3050 NW 35th St, ,Miami-Dade,33142,305-635-8676,,E,PK-5,590,540,C,25.80769,-80.24524,904477.6496,536507.9497,E316899,6/11/2020 9:42,E316899,4/3/2023 12:51,9db3817d-bab8-482b-ba6e-b23eb1c5ccd7,-8932858.48,2975282.727,
129,4.3105E+11,1921,Flamingo Elementary, ,701 E 33rd St, ,Hialeah,33013,305-691-5531,,E,PK-5,884,502,N,25.85298,-80.26785,896947.5727,552927.033,E316899,6/11/2020 9:42,E316899,3/31/2023 15:47,0c3c4353-34ff-4a60-85d1-c7d0a6e2f4c9,-8935375.32,2980883.939,
131,3.06004E+12,5951,Whispering Pines Elementary, ,18929 SW 89th Rd, ,Cutler Bay,33157,305-238-7382,,E,PK-5,724,494,S,25.591,-80.33577,875086.6424,457589.3141,E316899,6/11/2020 9:42,E316899,4/5/2023 11:59,5f8b9ccb-59fd-4a60-9005-ad1163d99de8,-8942937.147,2948512.586,
132,3.02106E+12,6351,Lake Stevens Middle, ,18484 NW 48th Pl, ,Miami-Dade,33055,305-620-1294,,M,8-Jun,924,428,N,25.94115,-80.28224,892035.7417,584948.1469,E316899,6/11/2020 9:42,E316899,4/3/2023 12:26,6435df37-6ac3-4cb3-b357-e946f0f8594e,-8936978.555,2991794.722,
133,3.03115E+12,1401,Charles R. Drew K-8 Center, ,1775 NW 60th St, ,Miami-Dade,33142,305-691-8021,,E,PK-8,770,412,C,25.83023,-80.22627,910666.3974,544736.3695,E316899,6/11/2020 9:42,E316899,3/24/2023 13:01,32b866d7-4fc1-4323-a395-260732ece765,-8930748.178,2978070.003,
134,3.04915E+12,7051,G. Holmes Braddock Senior High, ,3601 SW 147th Ave, ,Miami-Dade,33185,305-225-9729,,S,12-Sep,3818,2455,S,25.73409,-80.43104,843464.5496,509450.7767,E316899,6/11/2020 9:42,E316899,3/31/2023 15:52,5a6a60a3-d61a-490a-9b52-67004914c32f,-8953541.972,2966184.914,
135,3.04031E+12,9731,"Early Childhood, ESE and Tiitle", ,11001 SW 76th St, ,Miami-Dade,33173,305-995-7243,,SPC,K-2,0,23,AC,25.69832,-80.3729,862663.159,496535.2413,E316899,6/11/2020 9:42,E316899,3/31/2023 15:37,78e1f3d8-db69-46cd-9472-9f5080c6e3fd,-8947070.761,2961764.765,
136,3.42117E+12,9232,Transportation Center North,North,16150 NW 42nd Ave, ,Miami Gardens,33054,305-625-9086,,A,0,0,0, ,25.9201,-80.2688,896494.6744,577321.7771,E316899,6/11/2020 9:42,E316899,4/5/2023 11:35,ae7f532c-6a86-4f3d-b32d-fab332faa208,-8935482.607,2989189.213,
137,1.07917E+12,4031,Gateway Environmental K-8 Learning Center, ,955 SE 18th Ave, ,Homestead,33035,305-257-6000,,E,PK-8,1690,1390,S,25.4609,-80.45073,837391.1902,410131.7089,E316899,6/11/2020 9:42,E316899,3/31/2023 15:53,e55d67b5-9e61-475d-b6bf-0768285d4c6f,-8955734.784,2932463.208,
138,3.0492E+12,211,Dr. Manuel C. Barreiro Elementary, ,5125 SW 162nd Ave, ,Miami-Dade,33185,305-229-4800,,E,PK-5,824,625,S,25.7175,-80.45499,835606.423,503385.5148,E316899,6/11/2020 9:42,E316899,3/24/2023 14:19,0cab6fb4-9940-416a-b1ad-909a24d64500,-8956207.666,2964134.145,
139,3.04003E+12,2331,Charles R. Hadley PLC-A, ,8390 NW 7th St, ,Miami-Dade,33126,305-265-2714,,PLC,0,0,0,C,25.77616,-80.33282,875718.3477,524890.1444,E316899,6/11/2020 9:42,E316899,3/24/2023 13:02,2a0c20ce-f7f1-4be7-8f96-627e84376ebf,-8942609.077,2971383.728,
140,3.04007E+12,5061,Dr. Carlos J. Finlay Elementary, ,851 SW 117th Ave, ,Miami-Dade,33174,305-552-7122,,E,PK-5,626,564,S,25.75919,-80.38155,859710.7291,518644.2546,E316899,6/11/2020 9:42,E316899,3/24/2023 14:11,2eafeff7-ecbf-4f57-ace6-b20eb2c53c48,-8948033.792,2969286.127,
141,3.04017E+12,4091,Olympia Heights Elementary, ,9797 SW 40th St, ,Miami-Dade,33165,305-221-3821,,E,PK-5,642,331,S,25.73328,-80.35339,869025.721,509272.8234,E316899,6/11/2020 9:42,E316899,4/3/2023 13:38,af0497ba-e652-4b90-a244-18ff6a7c42c4,-8944898.851,2966084.382,
142,3.04003E+12,4921,Seminole Elementary, ,121 SW 78th Pl, ,Miami-Dade,33144,305-261-7071,,E,PK-5,842,539,C,25.76924,-80.32337,878842.0149,522391.7938,E316899,6/11/2020 9:42,E316899,4/4/2023 15:24,40c2be6a-c031-4c69-a9bd-2b33e13b8880,-8941556.8,2970528.621,
143,3.42104E+12,6051,Carol City Middle, ,3737 NW 188th St, ,Miami Gardens,33055,305-624-2652,,M,8-Jun,1060,457,N,25.94528,-80.26241,898543.6879,586485.7497,E316899,6/11/2020 9:42,E316899,3/24/2023 12:54,9fd1a75f-56f1-476b-b5ad-a4707abee70b,-8934771.202,2992306.083,
144,3.04933E+12,1811,Dante B. Fascell Elementary, ,15625 SW 80th St, ,Miami-Dade,33193,305-380-1901,,E,PK-5,721,395,S,25.69339,-80.44528,838836.5629,494638.8437,E316899,6/11/2020 9:42,E316899,3/24/2023 13:19,60302743-fadf-4c8a-9c6c-008217ec6a29,-8955127.965,2961156.414,
145,5.3119E+11,9573,District Office/Charter School, ,1080 La Baron Dr, ,Miami Springs,33166,305-883-0403,,A,0,0,0, ,25.81243,-80.27431,894899.5269,538177.4168,E316899,6/11/2020 9:42,E316899,3/24/2023 14:10,55be0e88-1cd4-4884-8494-460104573633,-8936096.088,2975869.012,
146,3.06936E+12,73,Mandarin Lakes K-8 Academy, ,12225 SW 280TH St, ,Miami-Dade,33032,305-257-0377,,E,PK-8,1508,798,S,25.50759,-80.39072,857115.1756,427187.6862,E316899,6/11/2020 9:42,E316899,4/3/2023 12:43,b437cc1f-38e0-4853-b2a5-581a7f78ef96,-8949053.959,2938221.18,
147,1.3133E+11,2661,Kensington Park PLC-D, ,1025 NW 30th Ave, ,Miami,33125,305-649-4301,,PLC,0,0,0,C,25.78255,-80.2436,905067.8098,527371.2234,E316899,6/11/2020 9:42,E316899,4/3/2023 12:23,06eeff2e-d2a8-4787-b468-6d927e7fc7eb,-8932676.563,2972173.649,
148,1.4103E+11,7461,Miami Senior High, ,2450 SW 1st St, ,Miami,33135,305-649-9800,,S,12-Sep,2613,2862,C,25.77094,-80.23595,907608.5793,523168.5953,E316899,6/11/2020 9:42,E316899,4/3/2023 13:08,95690916-8863-4e35-8a70-83351efb5909,-8931825.333,2970739.326,
149,3.06934E+12,7631,Miami MacArthur South SH, ,13990 SW 264th St, ,Miami-Dade,33032,305-258-7200,,ALT,12-Jun,564,73,AC,25.52142,-80.41794,848112.9602,432172.2442,E316899,6/11/2020 9:42,E316899,4/3/2023 13:04,b7fd85fc-b9ab-4402-9857-ca5564a2d444,-8952084.941,2939926.534,
150,1.3113E+11,7005,iTech@Thomas A. Edison Education Center, ,6101 NW 2nd Ave, ,Miami,33127,305-754-4683,,S,12-Sep,927,241,C,25.83161,-80.20011,919273.2237,545288.2505,E316899,6/11/2020 9:42,E316899,4/3/2023 11:41,dfa680cf-4c7b-450f-bcd4-f80932de72cc,-8927834.437,2978240.26,
151,3.0492E+12,211,Dr. Manuel C. Barreiro Elementary ECC-3, ,16350 SW 47th St, ,Miami-Dade,33185,305-228-4200,,E,PK-5,324,0,S,25.71978,-80.45778,834681.9962,504209.7762,E316899,6/11/2020 9:42,E316899,11/18/2021 13:56,e028b12c-594a-441b-b73f-af2cbf5a7094,-8956519.074,2964415.652,
152,1.31131E+11,3051,Toussaint L'ouverture Elementary, ,120 NE 59th St, ,Miami,33137,305-758-2600,,E,PK-5,682,345,C,25.82946,-80.19389,921321.7403,544520.1819,E316899,6/11/2020 9:42,E316899,4/5/2023 11:24,37de8ac5-5251-4dc8-ba88-a7c4efa4ad3f,-8927142.794,2977974.665,
153,3.03129E+12,7801,George T. Baker Aviation Technical College, ,3275 NW 42nd Ave, ,Miami-Dade,33142,305-871-3143,,O,0,696,0,AC,25.80419,-80.26356,898452.8752,535202.2498,E316899,6/11/2020 9:42,E316899,3/31/2023 15:53,44e645a6-85d7-497d-a9fe-4abe0b21e239,-8934899.41,2974850.154,
154,1.07813E+12,2941,Laura C. Saunders Elementary, ,505 SW 8th St, ,Homestead,33030,305-247-3933,,E,PK-5,819,489,S,25.46301,-80.484,826410.4731,410855.1731,E316899,6/11/2020 9:42,E316899,4/3/2023 12:30,9ebd74b3-d7ad-4235-97d4-9436b85b6ce5,-8959438.557,2932723.524,
155,6.2229E+11,5005,David Lawrence Jr. K-8 Center PLC South Campus,David Lawrence Jr. K-8 Center,12175 NE 12th Ct, ,North Miami,33161,305-892-7080,,PLC,0,0,0,N,25.88761,-80.17363,927850.2792,565696.1397,E316899,6/11/2020 9:42,E316899,3/24/2023 14:04,68a82241-dee2-49e1-8a71-1e06e636ffcc,-8924888.445,2985167.714,
156,5.3013E+11,7511,Miami Springs Senior High, ,751 Dove Ave, ,Miami Springs,33166,305-885-3585,,S,12-Sep,2011,997,C,25.83038,-80.29467,888168.0289,544663.9013,E316899,6/11/2020 9:42,E316899,4/3/2023 13:11,9802a8ee-04de-4903-a2c8-50d69dbf3278,-8938362,2978088.398,
157,1.32071E+11,3431,Phyllis Ruth Miller Elementary, ,840 NE 87th St, ,Miami,33138,305-756-3800,,E,PK-5,731,485,C,25.85502,-80.18063,925626.6373,553836.1594,E316899,6/11/2020 9:42,E316899,4/3/2023 14:50,ea52561a-8e64-4d96-bb47-066ae15559cc,-8925666.355,2981135.704,
158,3.41132E+12,5081,Dr. Frederica S. Wilson/Skyway Elementary, ,4555 NW 206th Ter, ,Miami Gardens,33055,305-621-5838,,E,PK-5,588,252,N,25.96166,-80.27766,893499.875,592411.0619,E316899,6/11/2020 9:42,E316899,3/24/2023 14:13,c6dea9cf-2c72-4686-95c4-605ac5eb95d3,-8936468.664,2994333.873,
159,3.01232E+12,7141,Dr. Michael M. Krop Senior High, ,1410 NE 215th St, ,Miami-Dade,33179,305-652-6808,,S,12-Sep,2186,2190,N,25.97153,-80.17338,927746.1245,596201.5623,E316899,6/11/2020 9:42,E316899,3/24/2023 14:25,e3a10647-e685-4e53-8249-534ae967b712,-8924858.547,2995556.03,
161,1.31251E+11,6361,Jose De Diego Middle, ,3100 NW 5th Ave, ,Miami,33127,305-573-7229,,M,8-Jun,1071,900,C,25.80591,-80.20369,918147.0175,535939.1773,E316899,6/11/2020 9:42,E316899,4/3/2023 12:06,e2ad0b3a-6502-482e-b482-97a7c7038b2b,-8928234.708,2975061.834,
162,3.05018E+12,2021,Gloria Floyd Elementary, ,12650 SW 109th Ave, ,Miami-Dade,33176,305-255-3934,,E,PK-5,772,363,S,25.65105,-80.37169,863143.1516,479357.4173,E316899,6/11/2020 9:42,E316899,3/31/2023 15:57,1bf312db-3b7d-429d-b839-07b8cd9e5611,-8946936.092,2955926.486,
163,3.04911E+12,2341,Joe Hall Elementary, ,1901 SW 134th Ave, ,Miami-Dade,33175,305-223-9823,,E,PK-5,595,397,S,25.7498,-80.41268,849485.495,515185.1536,E316899,6/11/2020 9:42,E316899,4/3/2023 11:59,ebe73281-be98-4243-a363-99f7b4610374,-8951497.365,2968125.745,
164,3.0503E+12,4441,Pine Lake Elementary, ,16700 SW 109th Ave, ,Miami-Dade,33157,305-233-7018,,E,PK-5,648,384,S,25.61382,-80.37017,863710.0282,465829.748,E316899,6/11/2020 9:42,E316899,4/3/2023 14:51,51a0b7d4-84cc-43d6-8641-84803330a08a,-8946766.277,2951330.093,
165,1.4002E+11,9025,Food & Nutrition Center, ,7042 W Flagler St, ,Miami,33144,786-275-0420,,A,0,0,0, ,25.76998,-80.30933,883460.3279,522685.9009,E316899,6/11/2020 9:42,E316899,3/31/2023 15:49,ef746477-c153-4750-b251-b6868d001863,-8939994.175,2970620.496,
166,3.0692E+12,4581,Redland Elementary, ,24501 SW 162nd Ave, ,Miami-Dade,33031,305-247-8141,,E,PK-5,903,943,S,25.53914,-80.4532,836464.1254,438564.4275,E316899,6/11/2020 9:42,E316899,4/3/2023 15:03,25cb6a8b-8357-455b-9982-5bda00fa3195,-8956008.145,2942113.011,
167,3.04011E+12,1841,Flagami Elementary, ,920 SW 76th Ave, ,Miami-Dade,33144,305-261-2031,,E,PK-5,504,386,C,25.76131,-80.31846,880473.8613,519520.3754,E316899,6/11/2020 9:42,E316899,3/31/2023 15:46,7dc3c46c-6791-4896-84ff-3479e6ae50e4,-8941009.864,2969549.252,
